Time of the event,Duration of the event,Event type
0, 86, CPU burst
86, 1, switch to kernel mode
87, 30, context saved
117, 1, find vector 9 in memory position 0x0012
118, 1, load address 0X036C into the PC
119, 156, call device driver
275, 30, Context switch
305, 1, Execute IRET
306, 61, CPU burst
367, 1, switch to kernel mode
368, 30, context saved
398, 1, find vector 9 in memory position 0x0012
399, 1, load address 0X036C into the PC
400, 156, Store information in memory
556, 30, Context switch
586, 1, Execute IRET
587, 27, CPU burst
614, 1, switch to kernel mode
615, 30, context saved
645, 1, find vector 17 in memory position 0x0022
646, 1, load address 0X05B3 into the PC
647, 235, call device driver
882, 30, Context switch
912, 1, Execute IRET
913, 19, CPU burst
932, 1, switch to kernel mode
933, 30, context saved
963, 1, find vector 17 in memory position 0x0022
964, 1, load address 0X05B3 into the PC
965, 235, Store information in memory
1200, 30, Context switch
1230, 1, Execute IRET
1231, 92, CPU burst
1323, 1, switch to kernel mode
1324, 30, context saved
1354, 1, find vector 8 in memory position 0x0010
1355, 1, load address 0X06EF into the PC
1356, 1000, call device driver
2356, 30, Context switch
2386, 1, Execute IRET
2387, 36, CPU burst
2423, 1, switch to kernel mode
2424, 30, context saved
2454, 1, find vector 8 in memory position 0x0010
2455, 1, load address 0X06EF into the PC
2456, 1000, Store information in memory
3456, 30, Context switch
3486, 1, Execute IRET
3487, 19, CPU burst
3506, 1, switch to kernel mode
3507, 30, context saved
3537, 1, find vector 1 in memory position 0x0002
3538, 1, load address 0X029C into the PC
3539, 100, call device driver
3639, 30, Context switch
3669, 1, Execute IRET
3670, 33, CPU burst
3703, 1, switch to kernel mode
3704, 30, context saved
3734, 1, find vector 1 in memory position 0x0002
3735, 1, load address 0X029C into the PC
3736, 100, Store information in memory
3836, 30, Context switch
3866, 1, Execute IRET
3867, 90, CPU burst
3957, 1, switch to kernel mode
3958, 30, context saved
3988, 1, find vector 20 in memory position 0x0028
3989, 1, load address 0X07B7 into the PC
3990, 0, call device driver
3990, 30, Context switch
4020, 1, Execute IRET
4021, 13, CPU burst
4034, 1, switch to kernel mode
4035, 30, context saved
4065, 1, find vector 20 in memory position 0x0028
4066, 1, load address 0X07B7 into the PC
4067, 0, Store information in memory
4067, 30, Context switch
4097, 1, Execute IRET
4098, 12, CPU burst
4110, 1, switch to kernel mode
4111, 30, context saved
4141, 1, find vector 13 in memory position 0x001A
4142, 1, load address 0X06C7 into the PC
4143, 636, call device driver
4779, 30, Context switch
4809, 1, Execute IRET
4810, 23, CPU burst
4833, 1, switch to kernel mode
4834, 30, context saved
4864, 1, find vector 13 in memory position 0x001A
4865, 1, load address 0X06C7 into the PC
4866, 636, Store information in memory
5502, 30, Context switch
5532, 1, Execute IRET
5533, 51, CPU burst
5584, 1, switch to kernel mode
5585, 30, context saved
5615, 1, find vector 10 in memory position 0x0014
5616, 1, load address 0X07B0 into the PC
5617, 564, call device driver
6181, 30, Context switch
6211, 1, Execute IRET
6212, 49, CPU burst
6261, 1, switch to kernel mode
6262, 30, context saved
6292, 1, find vector 10 in memory position 0x0014
6293, 1, load address 0X07B0 into the PC
6294, 564, Store information in memory
6858, 30, Context switch
6888, 1, Execute IRET
6889, 87, CPU burst
6976, 1, switch to kernel mode
6977, 30, context saved
7007, 1, find vector 5 in memory position 0x000A
7008, 1, load address 0X048B into the PC
7009, 211, call device driver
7220, 30, Context switch
7250, 1, Execute IRET
7251, 55, CPU burst
7306, 1, switch to kernel mode
7307, 30, context saved
